id,class
0,1
1,1
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,1
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,1
35,0
36,1
37,1
38,1
39,0
40,1
41,1
42,0
43,0
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,1
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,0
75,1
76,0
77,0
78,0
79,1
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,0
91,1
92,1
93,1
94,1
95,0
96,0
97,1
98,1
99,1
100,0
101,1
102,0
103,0
104,1
105,1
106,0
107,0
108,0
109,0
110,0
111,1
112,0
113,1
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,0
126,0
127,1
128,1
129,0
130,0
131,0
132,1
133,1
134,1
135,1
136,0
137,1
138,0
139,0
140,1
141,0
142,0
143,0
144,1
145,1
146,0
147,1
148,0
149,0
150,1
151,1
152,1
153,0
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,0
162,0
163,0
164,1
165,1
166,1
167,0
168,1
169,1
170,0
171,1
172,1
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,1
181,1
182,1
183,1
184,0
185,0
186,0
187,1
188,1
189,0
190,1
191,1
192,0
193,0
194,0
195,0
196,0
197,1
198,1
199,1
200,1
